Type ,Name,Instagram Link,Website,Instagram
food.dining,Straight Outta Sould Food,https://www.instagram.com/straight_outta__soulfood/,https://www.thumbtack.com/or/eugene/personal-chefs/main-course/service/180787000236500183?category_pk=150767068874637772&search_request_pk=347342063703932934&encoded_answers=eyJzZl9wayI6IjM0NjExNDYzNDA4NzMyNTY5OCIsImFucyI6eyI1IjoiOTc0MDMifX0%3D&lp_request_pk=347342232985796615&is_date_set=true&zip_code=97403&lp_path=%2For%2Fmcminnville%2Fpersonal-chefs%2F&is_zip_code_changed=true&click_origin=pro%20list%2Fclick%20pro%20name&urgency_signal=popular,straight_outta__soulfood
food.dining,Noisette Pastry Kitchen,https://www.instagram.com/noisettepk/,https://www.noisettepk.com,noisettepk
food.dining,Stewart Soul Fusion,https://www.instagram.com/stewartssoulfusion/,,stewartssoulfusion
food.dining,Irie Jamaican Kitchen,https://www.instagram.com/irie_jamaicankitchen/,https://www.iriejamaicancuisine.com/blog,irie_jamaicankitchen
food.dining,Philyaw's Kitchen,https://www.instagram.com/philyawscookout/,https://philyawscookout.com,philyawscookout
food.dining,Equiano's Coffee,https://www.instagram.com/equianocoffee/,https://linktr.ee/equianocoffee,equianocoffee
food.dining,Addis Ethopian Cuisine,https://www.facebook.com/addisethiopiancuisine/,,
food.dining,Yardy Eugene,https://www.instagram.com/yardy.eugene/,,
food.dining,One Bad Dawg,https://www.facebook.com/onebaddawgoregon/,,
food.dining,BBQ by Tony,https://www.instagram.com/bbqbytony/,https://www.tonysbbq.com/,
food.dining,Once Famous Grill,https://www.facebook.com/catfishnshrimp/,,
food.dining,Chef Andre Royal,https://www.facebook.com/chefandreroyal/,,
haircare.beauty,Bianca's Retreat,https://www.instagram.com/biancas_retreat/,https://www.biancasretreat.com/,
haircare.beauty,Blessings Hair Design,https://www.instagram.com/blessingshairdesign/,https://blessingshairdesign.com,blessingshairdesign
haircare.beauty,Beauty by Kinaya,https://www.instagram.com/beautybykinaya/,https://www.facebook.com/beautybykinaya/,beautybykinaya
haircare.beauty,Glamour by A,https://www.instagram.com/glamourbya/,https://www.styleseat.com/m/v/amirateferi,glamourbya
haircare.beauty,Yarbs and Roots,https://www.instagram.com/yarbsandroots/,https://yarbsandroots.com,yarbsandroots
haircare.beauty,Wise Warrior Botanicals,https://www.instagram.com/wisewarriorbotanicals/,https://wisewarriorbotanicals.com,wisewarriorbotanicals
haircare.beauty,Hatchet Botanicals,https://www.instagram.com/hatchetoriginals/,,hatchetoriginals
haircare.beauty,Mo Beauty,https://www.instagram.com/madewithsolshop/,https://www.madewithsol.com,madewithsolshop
haircare.beauty,Kings Klaws,https://www.instagram.com/elev8cannabis/,https://elev8cannabis.com,elev8cannabis
haircare.beauty,Styled by Lillie,https://www.instagram.com/styled_bylillie/,https://www.treuhairco.com,styled_bylillie
haircare.beauty,She Rocks Locks,https://www.instagram.com/sherockslocs/,,sherockslocs
haircare.beauty,The J Spa,https://www.instagram.com/thejspaeugene/,https://thejspa.com/,
cannabis.vape,Juiced Up Vapors,https://www.instagram.com/juicedupvapors/,,juicedupvapors
cannabis.vape,Elev8Cannabis,https://www.instagram.com/elev8cannabis/,https://elev8cannabis.com,elev8cannabis
retail,Sweet Skins,https://www.instagram.com/sweetskinshemp/,https://linktr.ee/sweetskinshemp,sweetskinshemp
home.decor,De La Terracotta,https://www.instagram.com/delaterracotta/,https://www.etsy.com/shop/delaterracotta,delaterracotta
home.decor,Made with Sol,https://www.instagram.com/madewithsolshop/,https://www.madewithsol.com,madewithsolshop
health,Greene Power Health and Sports,https://www.instagram.com/livegreene35/,,livegreene35
health,Kingdom Elite Cheerleading,https://www.instagram.com/kingdomelitecheerleading/,https://app.jackrabbitclass.com/regv2.asp?id=537639,kingdomelitecheerleading
music,Live Chorus,https://www.instagram.com/livechorus/,https://linktr.ee/LiveChorus,livechorus
music,Xcape Dance Academy,https://www.instagram.com/xcapedanceacademy/,http://xcapedance.com,xcapedanceacademy
auto,Top Class Auto Salon,https://www.instagram.com/topclassautosalon/,http://www.topclassautosalon.com,topclassautosalon
animal,Pawsitive Influence Dog Training,https://www.facebook.com/Pawsitive-Influence-Dog-Training-280302259523050/,,Pawsitive Influence Dog Training
nonprofits,Suddenly Sleepy,https://www.instagram.com/suddenlysleepy5kwalk/,,
authors,Chef Andre-children's books,https://www.instagram.com/thehippocriticofficial/,https://ecojusticepress.com/the-hippo-critic.html,